Обработано 1 бюл. (1) Кандидат N 2 - Зыков[1 гол.]
Обработано 2 бюл. (1) Кандидат N 2 - Зыков[1 гол.];(2) Кандидат N 20 - Лукин[1 гол.]
Обработано 3 бюл. (1) Кандидат N 20 - Лукин[1 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 19 - Носов[1 гол.].
Обработано 4 бюл. (1) Кандидат N 19 - Носов[2 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 20 - Лукин[1 гол.].
Обработано 5 бюл. (1) Кандидат N 19 - Носов[2 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 14 - Ардашев[1 гол.].
Обработано 6 бюл. (1) Кандидат N 19 - Носов[2 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 14 - Ардашев[1 гол.].
Обработано 7 бюл. (1) Кандидат N 19 - Носов[2 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 3 - Меркушев[1 гол.].
Обработано 8 бюл. (1) Кандидат N 19 - Носов[2 гол.];(2) Кандидат N 2 - Зыков[1 гол.];(3) Кандидат N 3 - Меркушев[1 гол.].
Обработано 9 бюл. (1) Кандидат N 14 - Ардашев[2 гол.];(2) Кандидат N 19 - Носов[2 гол.];(3) Кандидат N 3 - Меркушев[1 гол.].
Обработано 10 бюл. (1) Кандидат N 9 - Романов[2 гол.];(2) Кандидат N 14 - Ардашев[2 гол.];(3) Кандидат N 19 - Носов[2 гол.].
Обработано 11 бюл. (1) Кандидат N 9 - Романов[2 гол.];(2) Кандидат N 14 - Ардашев[2 гол.];(3) Кандидат N 19 - Носов[2 гол.].
Обработано 12 бюл. (1) Кандидат N 20 - Лукин[2 гол.];(2) Кандидат N 14 - Ардашев[2 гол.];(3) Кандидат N 19 - Носов[2 гол.].
Обработано 13 бюл. (1) Кандидат N 9 - Романов[3 гол.];(2) Кандидат N 19 - Носов[2 гол.];(3) Кандидат N 14 - Ардашев[2 гол.].
Обработано 14 бюл. (1) Кандидат N 9 - Романов[3 гол.];(2) Кандидат N 19 - Носов[3 гол.];(3) Кандидат N 20 - Лукин[2 гол.].
Обработано 15 бюл. (1) Кандидат N 20 - Лукин[3 гол.];(2) Кандидат N 19 - Носов[3 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 16 бюл. (1) Кандидат N 20 - Лукин[3 гол.];(2) Кандидат N 19 - Носов[3 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 17 бюл. (1) Кандидат N 20 - Лукин[4 гол.];(2) Кандидат N 19 - Носов[3 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 18 бюл. (1) Кандидат N 20 - Лукин[5 гол.];(2) Кандидат N 19 - Носов[3 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 19 бюл. (1) Кандидат N 20 - Лукин[5 гол.];(2) Кандидат N 19 - Носов[4 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 20 бюл. (1) Кандидат N 20 - Лукин[6 гол.];(2) Кандидат N 19 - Носов[4 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 21 бюл. (1) Кандидат N 20 - Лукин[7 гол.];(2) Кандидат N 19 - Носов[4 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 22 бюл. (1) Кандидат N 20 - Лукин[8 гол.];(2) Кандидат N 19 - Носов[4 гол.];(3) Кандидат N 9 - Романов[3 гол.].
Обработано 23 бюл. (1) Кандидат N 20 - Лукин[8 гол.];(2) Кандидат N 19 - Носов[4 гол.];(3) Кандидат N 9 - Романов[4 гол.].
Обработано 24 бюл. (1) Кандидат N 20 - Лукин[8 гол.];(2) Кандидат N 19 - Носов[5 гол.];(3) Кандидат N 9 - Романов[4 гол.].
Обработано 25 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 19 - Носов[5 гол.];(3) Кандидат N 9 - Романов[4 гол.].
Обработано 26 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 19 - Носов[5 гол.];(3) Кандидат N 9 - Романов[4 гол.].
Обработано 27 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 19 - Носов[5 гол.];(3) Кандидат N 9 - Романов[4 гол.].
Обработано 28 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 9 - Романов[5 гол.];(3) Кандидат N 19 - Носов[5 гол.].
Обработано 29 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 9 - Романов[5 гол.];(3) Кандидат N 19 - Носов[5 гол.].
Обработано 30 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 9 - Романов[5 гол.];(3) Кандидат N 19 - Носов[5 гол.].
Обработано 31 бюл. (1) Кандидат N 20 - Лукин[9 гол.];(2) Кандидат N 9 - Романов[5 гол.];(3) Кандидат N 19 - Носов[5 гол.].
Обработано 32 бюл. (1) Кандидат N 20 - Лукин[10 гол.];(2) Кандидат N 9 - Романов[5 гол.];(3) Кандидат N 19 - Носов[5 гол.].
Обработано 33 бюл. (1) Кандидат N 20 - Лукин[10 гол.];(2) Кандидат N 19 - Носов[6 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 34 бюл. (1) Кандидат N 20 - Лукин[11 гол.];(2) Кандидат N 19 - Носов[6 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 35 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[6 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 36 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[6 гол.];(3) Кандидат N 9 - Романов[5 гол.].
Обработано 37 бюл. (1) Кандидат N 20 - Лукин[12 гол.];(2) Кандидат N 19 - Носов[6 гол.];(3) Кандидат N 9 - Романов[5 гол.].
